Date,Downstream Project,Upstream Project,Diff Status,Files Changed,Line Insertions,Line Deletions,Line Changes,Commits Not Upstreamed
2018/03/02,platform/packages/apps/Camera2,platform/packages/apps/Camera2,Modified Projects,91,239,2300,2539,34
2018/03/02,platform/packages/apps/SecureElement,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/kmod,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/clang,platform/external/clang,Modified Projects,3325,313067,79490,392557,32
2018/03/02,platform/external/python/futures,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/conscrypt,platform/external/conscrypt,Modified Projects,424,115326,27723,143049,425
2018/03/02,platform/packages/apps/Car/Launcher,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/snakeyaml,platform/external/snakeyaml,Modified Projects,5,67,97,164,4
2018/03/02,platform/external/libdivsufsort,platform/external/libdivsufsort,Modified Projects,2,54,55,109,1
2018/03/02,platform/frameworks/opt/vcard,platform/frameworks/opt/vcard,Modified Projects,10,206,7,213,8
2018/03/02,platform/developers/build,platform/developers/build,Modified Projects,2190,76848,18604,95452,26
2018/03/02,platform/external/replicaisland,platform/external/replicaisland,Modified Projects,1,3,1,4,2
2018/03/02,platform/external/libmojo,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/frameworks/opt/inputconnectioncommon,platform/frameworks/opt/inputconnectioncommon,Intact Projects,0,0,0,0,0
2018/03/02,platform/external/androidplot,platform/external/androidplot,Intact Projects,0,0,0,0,0
2018/03/02,platform/external/slf4j,platform/external/slf4j,Modified Projects,1,35,0,35,3
2018/03/02,platform/hardware/interfaces,,Downstream Only Projects,0,0,0,0,0
2018/03/02,device/google/cuttlefish,,Downstream Only Projects,0,0,0,0,0
2018/03/02,device/google/accessory/demokit,device/google/accessory/demokit,Intact Projects,0,0,0,0,0
2018/03/02,platform/hardware/qcom/gps,platform/hardware/qcom/gps,Modified Projects,363,56807,1145,57952,83
2018/03/02,platform/system/libhidl,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/python/google-auth,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/packages/apps/Gallery2,platform/packages/apps/Gallery2,Modified Projects,90,159,137,296,26
2018/03/02,platform/frameworks/opt/net/wifi,platform/frameworks/opt/net/wifi,Modified Projects,438,111327,46605,157932,1060
2018/03/02,platform/external/brotli,,Downstream Only Projects,0,0,0,0,0
2018/03/02,device/google/wahoo-kernel,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/tools/tradefederation,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/libtextclassifier,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/hardware/intel/bootstub,platform/hardware/intel/bootstub,Modified Projects,1,1,0,1,1
2018/03/02,platform/hardware/intel/common/libva,platform/hardware/intel/common/libva,Modified Projects,5,14,14,28,5
2018/03/02,platform/external/libyuv,platform/external/libyuv,Modified Projects,187,69775,23056,92831,15
2018/03/02,platform/external/libldac,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/libcore,platform/libcore,Modified Projects,3123,395148,211140,606288,1274
2018/03/02,platform/hardware/qcom/keymaster,platform/hardware/qcom/keymaster,Modified Projects,2,14,10,24,4
2018/03/02,platform/external/flatbuffers,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/system/connectivity/wificond,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/tools/external/fat32lib,platform/tools/external/fat32lib,Modified Projects,1,2,0,2,1
2018/03/02,platform/external/zopfli,platform/external/zopfli,Modified Projects,2,31,24,55,2
2018/03/02,platform/hardware/intel/common/libstagefrighthw,platform/hardware/intel/common/libstagefrighthw,Modified Projects,2,3,2,5,2
2018/03/02,platform/hardware/qcom/media,platform/hardware/qcom/media,Modified Projects,303,162696,803,163499,86
2018/03/02,platform/external/libjpeg-turbo,platform/external/libjpeg-turbo,Modified Projects,288,21945,7273,29218,12
2018/03/02,platform/external/google-tv-pairing-protocol,platform/external/google-tv-pairing-protocol,Modified Projects,2,5,2,7,2
2018/03/02,platform/external/libphonenumber,platform/external/libphonenumber,Modified Projects,905,3415,1602,5017,16
2018/03/02,platform/tools/tradefederation/contrib,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/libbrillo,platform/external/libbrillo,Modified Projects,81,1964,945,2909,33
2018/03/02,platform/external/libbackup,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/packages/services/Car,platform/packages/services/Car,Modified Projects,1230,110722,142235,252957,527
2018/03/02,platform/external/python/protobuf,,Downstream Only Projects,0,0,0,0,0
2018/03/02,device/generic/mini-emulator-x86,device/generic/mini-emulator-x86,Intact Projects,0,0,0,0,0
2018/03/02,platform/external/junit-params,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/junit,platform/external/junit,Modified Projects,353,16973,12540,29513,14
2018/03/02,platform/packages/apps/WallpaperPicker,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/packages/apps/Email,platform/packages/apps/Email,Modified Projects,30,16,8,24,4
2018/03/02,platform/frameworks/opt/chips,platform/frameworks/opt/chips,Modified Projects,81,369,251,620,19
2018/03/02,device/linaro/hikey,device/linaro/hikey,Modified Projects,195,13096,648,13744,198
2018/03/02,platform/compatibility/cdd,platform/compatibility/cdd,Modified Projects,76,5884,3278,9162,145
2018/03/02,platform/packages/apps/QuickSearchBox,platform/packages/apps/QuickSearchBox,Modified Projects,2,6,2,8,2
2018/03/02,platform/external/apache-commons-math,platform/external/apache-commons-math,Modified Projects,2,2,0,2,1
2018/03/02,platform/external/v8,platform/external/v8,Modified Projects,7127,616945,1368743,1985688,17
2018/03/02,platform/packages/providers/PartnerBookmarksProvider,platform/packages/providers/PartnerBookmarksProvider,Modified Projects,2,4,1,5,2
2018/03/02,platform/packages/apps/LegacyCamera,platform/packages/apps/LegacyCamera,Modified Projects,11,44,23,67,7
2018/03/02,platform/packages/providers/CallLogProvider,platform/packages/providers/CallLogProvider,Modified Projects,6,11,11,22,6
2018/03/02,platform/external/roboto-fonts,platform/external/roboto-fonts,Modified Projects,23,12,4,16,4
2018/03/02,platform/external/google-benchmark,platform/external/google-benchmark,Modified Projects,96,9869,3407,13276,272
2018/03/02,platform/external/libmpeg2,platform/external/libmpeg2,Modified Projects,32,901,420,1321,33
2018/03/02,platform/external/mesa3d,platform/external/mesa3d,Modified Projects,6615,1414523,529807,1944330,26783
2018/03/02,platform/external/javasqlite,platform/external/javasqlite,Modified Projects,2,15,26,41,3
2018/03/02,platform/packages/apps/Tag,platform/packages/apps/Tag,Modified Projects,85,126,14,140,7
2018/03/02,device/generic/mips64,device/generic/mips64,Modified Projects,1,1,1,2,1
2018/03/02,platform/packages/providers/BookmarkProvider,platform/packages/providers/BookmarkProvider,Modified Projects,2,3,0,3,2
2018/03/02,platform/external/jarjar,platform/external/jarjar,Modified Projects,3,45,50,95,3
2018/03/02,platform/external/bouncycastle,platform/external/bouncycastle,Modified Projects,256,9882,17733,27615,26
2018/03/02,device/linaro/bootloader/OpenPlatformPkg,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/frameworks/av,platform/frameworks/av,Modified Projects,2570,197938,253629,451567,1468
2018/03/02,device/sample,device/sample,Modified Projects,6,742,301,1043,36
2018/03/02,platform/frameworks/minikin,platform/frameworks/minikin,Modified Projects,127,8891,3175,12066,83
2018/03/02,platform/external/gemmlowp,platform/external/gemmlowp,Modified Projects,122,75248,42203,117451,12
2018/03/02,platform/external/python/enum,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/chromium-trace,platform/external/chromium-trace,Modified Projects,7044,32855,2459412,2492267,14
2018/03/02,platform/external/jemalloc,platform/external/jemalloc,Modified Projects,138,11264,6103,17367,260
2018/03/02,platform/external/x264,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/jsr305,platform/external/jsr305,Modified Projects,3,28,34,62,3
2018/03/02,platform/packages/inputmethods/LatinIME,platform/packages/inputmethods/LatinIME,Modified Projects,320,1021,1277,2298,75
2018/03/02,platform/external/smali,platform/external/smali,Modified Projects,255,21928,15611,37539,140
2018/03/02,platform/frameworks/opt/telephony,platform/frameworks/opt/telephony,Modified Projects,386,75196,32196,107392,897
2018/03/02,platform/external/python/pyasn1-modules,,Downstream Only Projects,0,0,0,0,0
2018/03/02,device/generic/qemu,device/generic/qemu,Modified Projects,11,167,34,201,1
2018/03/02,platform/external/mtpd,platform/external/mtpd,Modified Projects,5,41,77,118,5
2018/03/02,platform/external/tinycompress,platform/external/tinycompress,Modified Projects,3,92,21,113,3
2018/03/02,platform/packages/apps/Car/Radio,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/rootdev,platform/external/rootdev,Modified Projects,1,8,8,16,3
2018/03/02,platform/external/libxcam,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/bionic,platform/bionic,Modified Projects,3020,114830,84211,199041,1159
2018/03/02,platform/system/tools/hidl,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/libusb,platform/external/libusb,Modified Projects,228,50055,44062,94117,924
2018/03/02,platform/packages/apps/MusicFX,platform/packages/apps/MusicFX,Modified Projects,8,43,45,88,6
2018/03/02,platform/external/jsilver,platform/external/jsilver,Modified Projects,2,20,27,47,1
2018/03/02,platform/frameworks/opt/inputmethodcommon,platform/frameworks/opt/inputmethodcommon,Intact Projects,0,0,0,0,0
2018/03/02,platform/external/python/httplib2,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/frameworks/compile/mclinker,platform/frameworks/compile/mclinker,Modified Projects,46,475,944,1419,6
2018/03/02,platform/external/autotest,platform/external/autotest,Modified Projects,5537,242826,341215,584041,4445
2018/03/02,platform/external/libvorbis,platform/external/libvorbis,Modified Projects,1,6,0,6,1
2018/03/02,platform/system/timezone,,Downstream Only Projects,0,0,0,0,0
2018/03/02,device/generic/arm64,device/generic/arm64,Modified Projects,1,0,1,1,0
2018/03/02,platform/external/ply,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/art,platform/art,Modified Projects,4705,519339,182140,701479,3725
2018/03/02,platform/external/archive-patcher,platform/external/archive-patcher,Modified Projects,56,7080,0,7080,7
2018/03/02,platform/external/error_prone,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/linux-kselftest,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/system/tpm,platform/system/tpm,Modified Projects,202,23645,29113,52758,20
2018/03/02,platform/external/googletest,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/strace,platform/external/strace,Modified Projects,4749,365130,26927,392057,1004
2018/03/02,platform/system/nvram,platform/system/nvram,Modified Projects,62,10043,0,10043,47
2018/03/02,platform/external/python/google-cloud-pubsub,,Downstream Only Projects,0,0,0,0,0
2018/03/02,device/generic/x86,device/generic/x86,Modified Projects,1,1,1,2,1
2018/03/02,platform/test/vts-testcase/kernel,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/frameworks/opt/car/services,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/e2fsprogs,platform/external/e2fsprogs,Modified Projects,1211,163584,38989,202573,1077
2018/03/02,platform/packages/apps/Bluetooth,platform/packages/apps/Bluetooth,Modified Projects,853,70337,43031,113368,721
2018/03/02,platform/external/wycheproof,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/packages/apps/Car/libs,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/python/numpy,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/spirv-llvm,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/hardware/intel/img/psb_headers,platform/hardware/intel/img/psb_headers,Modified Projects,3,100,9,109,1
2018/03/02,platform/external/fsck_msdos,platform/external/fsck_msdos,Modified Projects,1,9,1,10,2
2018/03/02,platform/hardware/intel/common/wrs_omxil_core,platform/hardware/intel/common/wrs_omxil_core,Modified Projects,3,17,1,18,3
2018/03/02,platform/frameworks/layoutlib,platform/frameworks/base,Forked Projects,31710,38031,6263427,6301458,0
2018/03/02,platform/test/vts-testcase/hal-trace,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/deqp,platform/external/deqp,Modified Projects,1218,1312995,1341221,2654216,831
2018/03/02,platform/packages/apps/TimeZoneUpdater,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/chromium-libpac,platform/external/chromium-libpac,Modified Projects,2,2,1,3,1
2018/03/02,platform/test/vts-testcase/fuzz,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/packages/screensavers/WebView,platform/packages/screensavers/WebView,Modified Projects,1,1,0,1,1
2018/03/02,device/google/marlin-kernel,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/packages/apps/Car/UserManagement,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/hardware/qcom/msm8x27,platform/hardware/qcom/msm8x27,Intact Projects,0,0,0,0,0
2018/03/02,platform/hardware/qcom/msm8x26,platform/hardware/qcom/msm8x26,Modified Projects,4,60,33,93,1
2018/03/02,platform/tools/acloud,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/python/uritemplates,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/hardware/qcom/bt,platform/hardware/qcom/bt,Modified Projects,58,14744,190,14934,41
2018/03/02,platform/external/swiftshader,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/lz4,platform/external/lz4,Modified Projects,125,16252,6371,22623,667
2018/03/02,platform/system/update_engine,platform/system/update_engine,Modified Projects,381,25622,14508,40130,382
2018/03/02,platform/external/trappy,,Downstream Only Projects,0,0,0,0,0
2018/03/02,device/generic/armv7-a-neon,device/generic/armv7-a-neon,Modified Projects,2,2,2,4,3
2018/03/02,platform/external/f2fs-tools,platform/external/f2fs-tools,Modified Projects,61,15792,1582,17374,304
2018/03/02,platform/system/security,platform/system/security,Modified Projects,75,8144,4618,12762,65
2018/03/02,platform/external/google-fonts/cutive-mono,platform/external/google-fonts/cutive-mono,Intact Projects,0,0,0,0,0
2018/03/02,platform/system/netd,platform/system/netd,Modified Projects,207,22969,3705,26674,290
2018/03/02,platform/external/libexif,platform/external/libexif,Modified Projects,4,89,73,162,4
2018/03/02,platform/external/python/six,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/test/vts-testcase/performance,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/stressapptest,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/hardware/qcom/neuralnetworks/hvxservice,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/javassist,platform/external/javassist,Intact Projects,0,0,0,0,0
2018/03/02,platform/external/libvncserver,platform/external/libvncserver,Modified Projects,3,349,2,351,3
2018/03/02,platform/frameworks/opt/photoviewer,platform/frameworks/opt/photoviewer,Modified Projects,93,66,602,668,11
2018/03/02,platform/external/shflags,platform/external/shflags,Intact Projects,0,0,0,0,0
2018/03/02,platform/external/libedit,platform/external/libedit,Intact Projects,0,0,0,0,0
2018/03/02,device/google/dragon,device/google/dragon,Modified Projects,186,2353,1118,3471,100
2018/03/02,platform/external/cros/system_api,platform/external/cros/system_api,Modified Projects,38,2017,76,2093,165
2018/03/02,platform/external/expat,platform/external/expat,Modified Projects,126,24867,2715,27582,8
2018/03/02,platform/packages/apps/CellBroadcastReceiver,platform/packages/apps/CellBroadcastReceiver,Modified Projects,427,13811,8581,22392,149
2018/03/02,platform/external/kotlinc,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/scrypt,platform/external/scrypt,Modified Projects,15,259,369,628,7
2018/03/02,platform/external/skia,platform/external/skia,Modified Projects,4877,684377,338929,1023306,5518
2018/03/02,platform/external/netcat,platform/external/netcat,Modified Projects,1,7,1,8,1
2018/03/02,device/huawei/angler,device/huawei/angler,Modified Projects,329,4413,31195,35608,219
2018/03/02,platform/external/dtc,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/abi-dumper,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/packages/providers/ContactsProvider,platform/packages/providers/ContactsProvider,Modified Projects,134,5983,3343,9326,82
2018/03/02,platform/external/mockwebserver,platform/external/mockwebserver,Modified Projects,2,11,3,14,2
2018/03/02,platform/system/ca-certificates,platform/system/ca-certificates,Modified Projects,43,1410,2828,4238,3
2018/03/02,platform/external/arm-neon-tests,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/packages/apps/Car/Dialer,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/dhcpcd-6.8.2,platform/external/dhcpcd-6.8.2,Modified Projects,1,5,1,6,3
2018/03/02,platform/external/syslinux,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/packages/apps/ManagedProvisioning,platform/packages/apps/ManagedProvisioning,Modified Projects,365,36769,12483,49252,206
2018/03/02,platform/external/python/cachetools,,Downstream Only Projects,0,0,0,0,0
2018/03/02,device/lge/bullhead,device/lge/bullhead,Modified Projects,251,3944,30471,34415,210
2018/03/02,platform/external/ipsec-tools,platform/external/ipsec-tools,Modified Projects,7,99,44,143,10
2018/03/02,platform/external/one-true-awk,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/hardware/ril,platform/hardware/ril,Modified Projects,28,13244,6523,19767,151
2018/03/02,platform/hardware/qcom/msm8998,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/volley,platform/frameworks/volley,Forked Projects,71,3543,1093,4636,0
2018/03/02,platform/external/python/matplotlib,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/packages/screensavers/Basic,platform/packages/screensavers/Basic,Modified Projects,32,3,2,5,3
2018/03/02,platform/packages/apps/Stk,platform/packages/apps/Stk,Modified Projects,103,1727,637,2364,70
2018/03/02,platform/system/gatekeeper,platform/system/gatekeeper,Modified Projects,11,250,94,344,12
2018/03/02,platform/external/iptables,platform/external/iptables,Modified Projects,319,23721,1942,25663,499
2018/03/02,platform/external/modp_b64,platform/external/modp_b64,Modified Projects,3,35,34,69,4
2018/03/02,platform/external/icu,platform/external/icu,Modified Projects,9746,1270605,935560,2206165,244
2018/03/02,platform/packages/apps/Contacts,platform/packages/apps/Contacts,Modified Projects,1144,113651,41688,155339,1244
2018/03/02,platform/frameworks/opt/setupwizard,platform/frameworks/opt/setupwizard,Modified Projects,348,13288,4781,18069,134
2018/03/02,platform/external/pcre,platform/external/pcre,Modified Projects,618,130331,128724,259055,11
2018/03/02,platform/frameworks/native,platform/frameworks/native,Modified Projects,1248,155499,26522,182021,1663
2018/03/02,platform/packages/apps/Car/Hvac,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/hardware/qcom/msm8994,platform/hardware/qcom/msm8994,Modified Projects,3,315,1,316,1
2018/03/02,platform/packages/apps/Car/Overview,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/bart,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/packages/apps/TV,platform/packages/apps/TV,Modified Projects,3822,106859,47692,154551,17
2018/03/02,platform/external/vulkan-validation-layers,platform/external/vulkan-validation-layers,Modified Projects,375,190552,69198,259750,2468
2018/03/02,platform/frameworks/webview,platform/frameworks/webview,Modified Projects,6,17,292,309,7
2018/03/02,device/linaro/bootloader/arm-trusted-firmware,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/build/blueprint,platform/build/blueprint,Modified Projects,93,9884,4922,14806,138
2018/03/02,platform/external/jmdns,platform/external/jmdns,Intact Projects,0,0,0,0,0
2018/03/02,platform/hardware/google/easel,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/packages/apps/KeyChain,platform/packages/apps/KeyChain,Modified Projects,95,400,365,765,18
2018/03/02,platform/external/objenesis,platform/external/objenesis,Modified Projects,116,5379,3609,8988,10
2018/03/02,platform/external/okhttp,platform/external/okhttp,Modified Projects,147,8006,3564,11570,34
2018/03/02,platform/dalvik,platform/dalvik,Modified Projects,915,232710,3203,235913,97
2018/03/02,platform/frameworks/opt/net/lowpan,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/packages/providers/TelephonyProvider,platform/packages/providers/TelephonyProvider,Modified Projects,93,13849,541,14390,76
2018/03/02,platform/external/toolchain-utils,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/hardware/libhardware_legacy,platform/hardware/libhardware_legacy,Modified Projects,27,1259,7109,8368,42
2018/03/02,platform/system/extras,platform/system/extras,Modified Projects,674,81018,15663,96681,598
2018/03/02,platform/packages/apps/Music,platform/packages/apps/Music,Modified Projects,133,6442,12152,18594,13
2018/03/02,platform/hardware/nxp/nfc,,Downstream Only Projects,0,0,0,0,0
2018/03/02,device/lge/bullhead-kernel,device/lge/bullhead-kernel,Modified Projects,1,0,0,0,0
2018/03/02,platform/external/zxing,platform/external/zxing,Intact Projects,0,0,0,0,0
2018/03/02,device/generic/goldfish-opengl,device/generic/goldfish,Forked Projects,254,38715,36453,75168,0
2018/03/02,platform/system/libufdt,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/packages/apps/SoundRecorder,platform/packages/apps/SoundRecorder,Modified Projects,31,1,0,1,3
2018/03/02,platform/packages/apps/Messaging,platform/packages/apps/Messaging,Modified Projects,83,258,78,336,24
2018/03/02,platform/external/apache-http,platform/external/apache-http,Modified Projects,6,4338,11,4349,6
2018/03/02,platform/external/turbine,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/tinyxml,platform/external/tinyxml,Modified Projects,1,10,31,41,3
2018/03/02,platform/external/oj-libjdwp,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/packages/apps/HTMLViewer,platform/packages/apps/HTMLViewer,Modified Projects,6,6,0,6,3
2018/03/02,platform/external/desugar,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/python/pyasn1,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/fdlibm,platform/external/fdlibm,Modified Projects,2,131,82,213,2
2018/03/02,platform/frameworks/opt/net/ethernet,platform/frameworks/opt/net/ethernet,Modified Projects,4,801,491,1292,5
2018/03/02,platform/packages/apps/Protips,platform/packages/apps/Protips,Modified Projects,8,0,0,0,1
2018/03/02,platform/hardware/qcom/msm8x09,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/test/vts-testcase/vndk,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/libopus,platform/external/libopus,Modified Projects,328,38764,54840,93604,10
2018/03/02,platform/test/vts-testcase/security,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/tagsoup,platform/external/tagsoup,Modified Projects,2,20,21,41,2
2018/03/02,device/generic/mini-emulator-armv7-a-neon,device/generic/mini-emulator-armv7-a-neon,Intact Projects,0,0,0,0,0
2018/03/02,platform/packages/apps/OneTimeInitializer,platform/packages/apps/OneTimeInitializer,Modified Projects,4,21,29,50,2
2018/03/02,platform/packages/apps/Terminal,platform/packages/apps/Terminal,Modified Projects,5,31,36,67,4
2018/03/02,platform/external/annotation-tools,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/frameworks/opt/datetimepicker,platform/frameworks/opt/datetimepicker,Modified Projects,32,14,14,28,4
2018/03/02,platform/hardware/qcom/data/ipacfg-mgr,,Downstream Only Projects,0,0,0,0,0
2018/03/02,device/google/taimen,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/libcap,platform/external/libcap,Modified Projects,18,236,84,320,67
2018/03/02,platform/frameworks/support,platform/frameworks/support,Modified Projects,6892,864840,329617,1194457,2744
2018/03/02,platform/packages/apps/Car/Messenger,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/sfntly,platform/external/sfntly,Modified Projects,28,524,390,914,65
2018/03/02,platform/external/minijail,platform/external/minijail,Modified Projects,61,10144,2875,13019,158
2018/03/02,platform/frameworks/hardware/interfaces,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/packages/providers/CalendarProvider,platform/packages/providers/CalendarProvider,Modified Projects,37,199,249,448,13
2018/03/02,platform/external/drm_hwcomposer,platform/external/drm_hwcomposer,Modified Projects,30,1072,723,1795,42
2018/03/02,platform/test/vti/test_serving,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/doclava,platform/external/doclava,Modified Projects,270,31238,1362,32600,89
2018/03/02,platform/external/ImageMagick,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/packages/apps/Traceur,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/python/ply,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/webp,platform/external/webp,Modified Projects,179,23977,9027,33004,7
2018/03/02,platform/packages/apps/PhoneCommon,platform/packages/apps/PhoneCommon,Modified Projects,89,496,44,540,43
2018/03/02,platform/external/nfacct,platform/external/nfacct,Modified Projects,2,11,1,12,2
2018/03/02,toolchain/binutils,toolchain/binutils,Modified Projects,22231,3235922,2881117,6117039,64
2018/03/02,device/generic/mips,device/generic/mips,Modified Projects,1,1,1,2,1
2018/03/02,platform/external/python/proto-google-cloud-pubsub-v1,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/hardware/qcom/msm8996,platform/hardware/qcom/msm8996,Modified Projects,46,2360,1282,3642,13
2018/03/02,platform/external/google-fonts/dancing-script,platform/external/google-fonts/dancing-script,Intact Projects,0,0,0,0,0
2018/03/02,platform/external/naver-fonts,platform/external/naver-fonts,Intact Projects,0,0,0,0,0
2018/03/02,platform/external/parameter-framework,platform/external/parameter-framework,Modified Projects,8,65,36,101,3
2018/03/02,toolchain/benchmark,toolchain/binutils,Forked Projects,15841,84838,4978555,5063393,0
2018/03/02,platform/packages/providers/MediaProvider,platform/packages/providers/MediaProvider,Modified Projects,101,3081,1980,5061,65
2018/03/02,platform/external/Microsoft-GSL,,Downstream Only Projects,0,0,0,0,0
2018/03/02,device/linaro/hikey-kernel,device/linaro/hikey-kernel,Modified Projects,14,0,0,0,0
2018/03/02,platform/external/bzip2,platform/external/bzip2,Modified Projects,2,58,49,107,4
2018/03/02,device/generic/mini-emulator-mips64,device/generic/mini-emulator-mips64,Intact Projects,0,0,0,0,0
2018/03/02,platform/test/framework,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/vogar,platform/external/vogar,Modified Projects,143,5897,2997,8894,57
2018/03/02,platform/test/vts,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/packages/apps/DeskClock,platform/packages/apps/DeskClock,Modified Projects,993,62957,49053,112010,386
2018/03/02,platform/external/robolectric,platform/external/robolectric,Modified Projects,2,57,1,58,5
2018/03/02,platform/hardware/intel/common/bd_prov,platform/hardware/intel/common/bd_prov,Intact Projects,0,0,0,0,0
2018/03/02,platform/external/python/gapic-google-cloud-pubsub-v1,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/python/future,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/python/packaging,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/hardware/intel/common/libmix,platform/hardware/intel/common/libmix,Modified Projects,10,117,60,177,6
2018/03/02,platform/external/python/dill,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/ltp,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/python/google-cloud-core,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/packages/apps/SafetyRegulatoryInfo,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/selinux,platform/external/selinux,Modified Projects,796,38382,97329,135711,655
2018/03/02,platform/packages/providers/TvProvider,platform/packages/providers/TvProvider,Modified Projects,66,2330,84,2414,51
2018/03/02,platform/external/curl,platform/external/curl,Modified Projects,2009,265595,93492,359087,21
2018/03/02,platform/external/libvterm,platform/external/libvterm,Modified Projects,2,26,29,55,2
2018/03/02,platform/external/walt,,Downstream Only Projects,0,0,0,0,0
